games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds
25,215,2021,27:43,3.56,9.04,2.36,6.68,0.48,0.6,0.28,2.48,2.76,1.6,0.52,0.32,0.84,2.08,9.96,0.394,0.353,0.8,215,Justin,6.0,6.0,Holiday,F-G,"{'id': 12, 'abbreviation': 'IND', 'city': 'Indiana', 'conference': 'East', 'division': 'Central', 'full_name': 'Indiana Pacers', 'name': 'Pacers'}",181.0
23,217,2021,26:41,5.78,8.22,0.09,0.17,2.09,2.61,2.7,6.57,9.26,1.3,0.26,0.91,1.35,2.91,13.74,0.704,0.5,0.8,217,Richaun,6.0,10.0,Holmes,F-C,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",235.0
28,218,2021,13:30,1.07,3.0,0.57,1.86,0.43,0.43,0.36,1.39,1.75,0.71,0.29,0.04,0.14,0.79,3.14,0.357,0.308,1.0,218,Rodney,6.0,8.0,Hood,G,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",206.0
25,219,2021,29:10,4.36,9.68,1.28,4.36,1.92,2.24,1.52,6.28,7.8,3.4,0.76,1.4,1.04,2.2,11.92,0.45,0.294,0.857,219,Al,6.0,10.0,Horford,C-F,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",245.0
26,220,2021,14:31,1.73,2.77,0.23,0.31,1.08,1.77,1.5,3.65,5.15,0.46,0.85,0.69,0.88,1.73,4.77,0.625,0.75,0.609,220,Dwight,6.0,11.0,Howard,C,"{'id': 14, 'abbreviation': 'LAL', 'city': 'Los Angeles', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Los Angeles Lakers', 'name': 'Lakers'}",265.0
28,221,2021,27:38,4.18,9.04,1.75,4.61,0.43,0.5,0.39,2.93,3.32,2.68,0.43,0.25,1.32,1.89,10.54,0.462,0.38,0.857,221,Kevin,6.0,7.0,Huerter,G,"{'id': 1, 'abbreviation': 'ATL', 'city': 'Atlanta', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Atlanta Hawks', 'name': 'Hawks'}",190.0
23,222,2021,1:37,0.17,0.35,0.04,0.09,0.09,0.09,0.04,0.3,0.35,0.13,0.04,0.0,0.17,0.13,0.48,0.5,0.5,1.0,222,Chandler,6.0,7.0,Hutchison,F,"{'id': 24, 'abbreviation': 'PHX', 'city': 'Phoenix', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Phoenix Suns', 'name': 'Suns'}",197.0
14,223,2021,10:59,1.21,3.36,0.57,1.43,0.36,0.57,0.86,1.57,2.43,0.93,0.14,0.21,0.43,1.5,3.36,0.362,0.4,0.625,223,Serge,6.0,10.0,Ibaka,F-C,"{'id': 13, 'abbreviation': 'LAC', 'city': 'LA', 'conference': 'West', 'division': 'Pacific', 'full_name': 'LA Clippers', 'name': 'Clippers'}",235.0
16,224,2021,19:34,1.56,4.06,0.44,2.5,0.38,0.5,0.69,3.06,3.75,3.5,0.69,0.75,0.69,1.0,3.94,0.385,0.175,0.75,224,Andre,6.0,6.0,Iguodala,G-F,"{'id': 10, 'abbreviation': 'GSW', 'city': 'Golden State', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Golden State Warriors', 'name': 'Warriors'}",215.0
30,226,2021,23:56,2.63,5.9,1.9,4.73,0.33,0.43,0.4,2.53,2.93,3.33,0.5,0.13,1.07,1.73,7.5,0.446,0.401,0.769,226,Joe,6.0,8.0,Ingles,F,"{'id': 29, 'abbreviation': 'UTA', 'city': 'Utah', 'conference': 'West', 'division': 'Northwest', 'full_name': 'Utah Jazz', 'name': 'Jazz'}",226.0
